待办事项	事项描述
批量调度配置整理维护进基础库	公共组提供表格模板，对系统中的批量调度配置及初始化表内容进行梳理，最终哪些表需要进行初始化，哪些配置需要初始化。
菜单统一维护进基础库	对系统管理中的用户、角色、权限、数据字典项统一进行上收管理
权限统一维护进基础库	对系统管理中的用户、角色、权限、数据字典项统一进行上收管理
角色统一维护进基础库	对系统管理中的用户、角色、权限、数据字典项统一进行上收管理
应用环境使用规划	
基础库数据收集与创建	基础库数据收集与创建
批量调度服务拆分，目前所有服务在一个应用中，建议按照库的维度进行拆分	提供环境以及数据库，分环境（DEV，SIT，UAT）
提供环境以及数据库，分环境（DEV，SIT，UAT）	提供环境以及数据库，分环境（DEV，SIT，UAT）
数据库初始化脚本	梳理目前各数据库中每次搭建新环境、系统投产需要初始化的数据库表及表数据量，在数据库表清单中打标是否需要初始化数据，记录各表需要初始化的数据量，并整理好初始化数据脚本
日志输出改造-日志格式	全局流水号：【XXXXX】，服务名：【客户管理+IP地址】，错误信息：【XXXX】，异常栈信息：【XXXXX】
针对天元版本的切换与场景同步提前进行功能验证	针对天元版本的切换与场景同步提前进行功能验证
电子文档系统管理机构、用户、角色权限	梳理机构、用户、角色表清单，确定如何进行统一认证与管理
应用版本管理流程说明或者明白纸	制定应用级版本管理规范说明，并验证每个阶段每个分支合并、撤销等操作。并确定每个分支命名规范，每个组拉取分支命名规范。
全局流水号改造（Mdc）	全局流水号改造（Mdc），请求、跨服务、跨线程
基础数据库与基础数据管理	制定初始化数据更新基础数据库的方案，明确数据库表管理人员，管理初始化数据脚本，执行初始化数据入基础库。包括电子文档的模板文件管理，初始化。
批量调度服务上下游设计	批量执行顺序，以及任务依赖关系
东方通版本验证，决策	东方通版本验证，决策
基础数据库导出脚本编写	编写基础数据库导出脚本，根据EXCEL文档生成需要进行基础数据库导出的配置项信息。并通过脚本按照系统上线脚本生成数据库表结构create_table.sql与需初始化data_table.sql脚本，用于环境搭建与投产使用。
针对目前跑批过程中的任务步骤进行梳理，将任务慢的列出来，排优化跟踪计划	对批量步骤每个步骤时长进行监测，对步骤执行时序进行调整，将重要步骤放到前面执行，不重要内容放到最后执行。同时提前考虑对出来数据量较大的任务进行多任务分片、多线程进行处理，提高执行效率
基于日志收集编写问题排查手册	"由公共组统筹验证服务日志收集、链路追踪等，并确认根据全局流水号可以找到完整的请求日志内容。正常网关服务生成第一个全局流水号，用于日志中的链路追踪。如果涉及到外围系统的，需验证天元网关服务作为服务端使用ESB全局流水号，用于日志中的链路追踪。
验证各服务日志中的全局流水号生成，服务链路跟踪，形成问题排查手册，让每个组员如何登录服务器进行相关问题跟踪查询"
数据库分片方案与执行--分片执行与操作文档	根据方案执行分片策略，并进行验证，并记录输出操作文档
环境规划-环境服务详细清单	"各应用服务开放端口，注册服务名称，服务实例数、域名，明确各服务对外开放端口规划设计，便于投产阶段对生产网络环境开通。明确应用服务名称，一共需要部署多少服务？应用服务多少个？批量服务多少个？公共服务多少个？
将目前应用服务端口进行统一规划设计，并修改对应的yml文件，目标达到，各环境除IP地址不一致外，其他项均一致"
批量任务拆分及部署模式	目前批量服务均在一个服务中，存在系统性能瓶颈与单点服务故障后整体不可用。需对当前批量服务进行按大的功能模块拆分，并分多服务器节点部署。
测试环境集成差异分析	需梳理统计现在SIT测试环境与生产环境部署差异项，缺少哪些资源没有部署，部署技术组件是否进行相关验证与调通。
系统源码本地编译部署集成Jenkins	"每个应用源码打包都集成到Jenkins进行管理，包括【规则引擎、流程引擎、批量调度、天元网关、熔断限流、各服务应用代码】。做到人员岗位更替不应影响项目整体运转
将系统应用服务集成Sentinel熔断限流服务。"
批量实施架构	批量架构中涉及跨服务跨库查询的内容，是否通过卸载数据文件给相关服务进行执行，还是已通过查询库进行的
业务功能场景覆盖度	对当前应用各服务业务功能和接口测试场景覆盖度进行汇总收集，并通过脚本程序方式生成对应的统计指标，供业务场景进行测试调整。
基础数据库初始化数据量比对工具开发	基础库近期建立完之后，把配置的权限收起来，放在系统管理员这边，后边修改都提单子，公共组近期再开发一套检核程序，针对各个初始化参数表数据量，以基础库为准，用程序比对各个环境的参数表数据量，不一致的，就是有问题的
建立SVN 技术架构的目录	把SHEET页中的任务输出分门别类的放在SVN
批量调度服务拆分讨论	与行方、内部架构碰撞批量调度服务拆分必要性，初步方案方向
外围接口场景覆盖度	"对当前应用各服务业务功能和接口测试场景覆盖度进行汇总收集，并通过脚本程序方式生成对应的统计指标，供业务场景进行测试调整。
需搭建应用服务器资源部署监控，并相关应用监控能接入进去。"
数据迁移实施步骤部署手册	编写数据迁移部署手册，并在测试环境进行迁移验证
网络关系梳理与外围系统确认	根据系统规划材料与服务器部署方案，梳理信贷系统对外开放网络地址与端口，同时申请相关资源。并确认外围生产环境地址与网络关系开通。
应用日志关键字埋点与分析	"通过底层设计增加接口、SQL执行响应时间，标准输出，开发程序搂出符合条件的接口，SQL，输出Excel文档，分发各组进行优化，初步解决性能问题，为性能测试准备，例如：搂出超过N秒的接口，或SQL
梳理关键环节应用日志关键字埋点，形成性能问题检查脚本，每天针对查询效率较低的接口与功能进行重点跟踪与解决
由公共组对目前系统运行层面的日志分析，交易耗时打印等重点进行梳理。如：请求耗时【每个服务请求时间、请求报文、响应时间，响应耗时进行日志打印】，接口耗时【每个服务请求时间、请求报文、响应时间，响应耗时进行日志打印】，服务间耗时【每个服务请求时间、请求报文、响应时间，响应耗时进行日志打印】，SQL耗时【打印请求SQL内容及参数，SQL耗时等】，便于性能定位。通过日志平台或脚本工具，对日志内容进行分析。"
产品功能源码，证书有效期	"梳理目前系统中所使用的功能源码，服务证书有效期是否都为永久。
1-查看证书有效期
2-收集缺失的系统源码
3-东方通
针对以上两点缺失的提供清单，向公司发送邮件获取，准备妥当"
批量调度服务拆分方案编写与评审	依据数据量，业务场景，依赖关系、单批时长，组合批量时长、单批的重要性，OB（MySQL）最佳使用手册等维度讨论商定，编写详细批量调度拆分方案以及评审
网络架构图绘制	"需要绘制一张新信贷系统网络架构图，描述清楚哪端用什么样的安全访问方式、加解密。清晰描述整个网络链路图。便于日常沟通与生产环境申请资源使用。
项目组需提供详细网络架构图，标注加密节点及安全设备部署、证书申请点等，提出明确的需求"
分布式事务、熔断限流、调度平台，统一注册中心，同一空间管理	分布式事务、熔断限流、调度平台，统一注册中心，同一空间管理
环境规划-生产部署方式	"同城双活、双中心2+2部署模式等多中心部署，各中心间的数据同步是如何进行的？输出数据同步方案。
应用部署方案需准备出具体方案与行内确认沟通部署细节，如：数据同步，多中心数据切换，容灾切换，日志备份与收集，DMZ网络模式，安全管控策略，安全漏洞扫描，应用自动化发布。"
代码质量扫描方案、工具开发与执行	"输出操作文档以及工具目录
代码扫描检查
1、TODO检查
2、代码规范检查
3、线程池和多线程使用情况检查（待定），只允许架构组明确的范围内使用多线程"
注册中心集群部署和操作文档	注册中心集群部署和操作文档
环境规划-健康监测穿透	"健康服务穿透问题：中心流量分发SLB只能到天元网关，天元网关上层无法感知各服务节点的健康状况
反过来说天元网关访问同中心应用服务，如果出现单个中心单服务全部节点瘫痪，流量如何进行切换"
应用环境目录规划	"对系统应用目录进行规划，哪些是在本地存储，，哪些是在共享存储。明确每个功能模块、批量任务存放临时文件、正式文件、归档文件目录结构，控制每个应用目录权限。
需将现阶段每个模块存放的文件目录，目录层级进行设计，要求每个功能开发组在存放文件时候严格按照规范实施"
分布式事务集群部署+操作文档	分布式事务集群部署+操作文档
各环境所创建用户、用户组、用户目录权限清单	"明确各环境操作系统用户、角色权限，应用服务部署目录，日志存放目录，启动脚本存放目录，工具脚本存放目录及使用方式。目标要求每套环境除IP地址不一致外其他信息项必须一致
由公共组与行内运维进行沟通，创建应用用户，原则上不允许开放root用户权限。建议需创建ecms用户，appview用户，nginx用户，redis用户，nacos用户，普通开发人员只有appview用户权限，只能查看应用日志，其他禁止操作。如果需要调整的，统一汇报到公共组进行处理。
明确规划，在部署手册中进行明确与创建操作步骤
统一使用YW用户"
批量调度调度服务拆分方案执行	根据方案执行批量调度拆分策略，并记录输出操作文档
数据迁移检核方案手册	编写数据迁移验证方案，验证数据信息项，数据完整度，数据账务是否一致
上下游系统配置依赖梳理与确认	与管理外围系统确认生产配置事项，比如：网络IP，域名，账务机构，虚拟柜员信息等信息项
投产阶段版本管控方案	制定投产阶段版本管理方案，如：生产避免不了出现紧急版本发布，当有该情况发生时，项目的投产运转机制是什么样的。如何形成开发、测试、验证、投产等环境的把控。
熔断限流集群部署+操作文档	熔断限流集群部署+操作文档
安全组件防护开启	将Nginx模块中的安全防护开启，同时安装的时候注意需要增加SSL。否则HTTPS不生效。
数据库卸数采用副本数据库模式进行	OB提供方式方法，项目组进行开发集成，需对接获取使用方式。
慢SQL查询汇总(>=5s)监控	对系统中的请求耗时超过5s的交易进行汇总，发送每个开发组进行相关功能性能优化调整
慢SQL查询汇总(>=5s)优化	组织开发组进行相关功能性能优化调整
中间件标准化安装	"对应用软件进行标准化安装，通过脚本意见化进行软件安装，并生成对应的监控脚本、启动脚本、停止脚本、服务检查脚本
对系统所使用的软件，如：nginx，seata，nacos，sentinel实现标准化软件安装，通过标准化一键安装，达到每个环境都是同一个配置信息项，除域名和IP地址不一致外，其他均一致，减少问题排查复杂度。"
批量调度接入行内一级调度中心	需提供行内一级调度中心，信贷将批量调度接入进行相关调度功能验证。
互联网关相关	"DMZ网络区，接入安全WAF
信贷系统涉及到互联网访问的接口数据，需要进行加密。需要梳理一下通过互联网网关访问的内容，需进行加解密。并且需要验证整个网络链路是否通畅。"
应用部署手册及部署操作流程化	需将应用部署手册与投产进行相结合进行编写，每个步骤必须具备可操作性，目标要随便一个普通人员均可根据部署手册进行环境搭建
应用环境初始化流程建立	"明确一套新的环境初始化需要的内容及步骤，并确定每个步骤的负责人员
制定环境初始化任务步骤文档及环境初始化问题登记，在测试环境验证每个环境初始化步骤流程流转及过程问题事项，复盘下次初始化如何规避等。"
应用系统配置文件管理	"统一YML文件内容到配置中心，并同步生成配置文件，修改配置文件参数化Excel。应用服务配置中心配置文件管理，对所有配置中心yml文件进行统一管控，通过文件占位符形式进行替换，并通过程序结合EXCEL配置文件快速进行生产所属对应环境配置文件
编写配置文件管理程序，将配置文件中的内容进行标准化，注册中心一共配置多少个文件？每个文件根据环境不同需要替换掉的内容。目标实现，生成的配置文件直接导入配置中心即可使用，无需再进行内容调整。"
应用服务安全方案部署	应用系统模块按照行内安全方式部署，增加自签证书，通过HTTPS模式访问。
服务幂等控制组件验证与应用	因应用服务需考虑交易幂等，产品底层组件已提供相关功能，需要公共组进行组件验证在本项目中有效，并发布使用说明，发布到各组进行相关业务场景控制与代码添加
应用生产监控方案	"应用生产环境监控采用的方案，如：行内统一运维监控，项目组自建监控。监控指标确认，生产运维要求。
监控策略，云平台接入比较简单，应用监控需要自建应用监控"
Seata部署和熔断限流组件部署	部署分布式事务与熔断限流服务，并验证服务配置有效性，编写配置操作手册及系统投产上线，需要配置哪些初始化数据
分布式锁组件验证与应用	"因应用服务需考虑分布式锁的情况，产品底层组件已提供相关功能，需要公共组进行组件验证在本项目中有效，并发布使用说明，发布到各组进行相关业务场景控制与代码添加
由公共组验证，并发布使用说明，原则上对统一资源的修改的交易都要进行相关控制，如：额度设立需对统一客户做分布式锁处理"
批量文件传输系统及文件清单确认	与上下游系统确认生产环境当前批量文件传输任务项，任务目录及其他约定情况
系统生产环境信息对外通知	整理信贷系统对外相关IP地址，账号，脚本及目录。供外围系统进行网络关系开通与配置。
移动端福祥专区网络访问需要进行报文全加密	需要提前考虑福祥移动端通过加密后，互联网网关进行解密。
安全组件获取并使用	需要系统集成行内安全模块组件，并对密码进行加密。目前支持js，java等语言。
熔断限流使用验证	熔断限流使用代码编写，使用验证
特殊场景下的异常处理状态	"放款处理步骤涉及流程较长，是否设计中采用多状态机制实现异常情况下的流程状态处理，便于修改数据后重新发起流程操作。
1.方案一建议放款表直接增加3个字段，放款步骤，状态，失败原因做记录，也不需要配置直接代码写死3个步骤，配置也是代码支撑的没必要。异常处理管理功能直接查询放款失败记录即可
2.方案二定情清理数据，保持现有功能目前功能基本开发完成，专题讨论是否修改功能。"
PAD端Web嵌入的专属域名	"1-测试环境已提供
2-SIT、UAT怎么处理
2-生产环境待申请"
分布式事务功能使用与验证	分布式事务服务间调用验证与服务调用规范说明，包括如何运用分布式事务和使用业务场景，开发设计组进行使用。并注明在哪些服务上必须使用分布式事务注解
数据库清理库表申请与设计	历史表创建的库的申请，库表的设计与创建
投产实施控制表编写	编写投产实施控制表内容，并按步骤进行测试环境演练
性能测试中的场景交易选型及测试方案	与性能测试团队进行沟通，沟通具体测试方案，并根据测试方案进行应用交易选型
性能测试中的批量任务机测试方案	与性能测试团队进行沟通，沟通具体测试方案，需要执行的批量业务场景，执行的批量日期，获取各系统对应日期的批量数据。
性能测试环境准备与应用排查工具Arthas，线程栈收集，内存栈收集脚本等	提前准备性能测试排查工具及脚本，便于测试过程中对关键性能瓶颈的抓取
数据库清理批量程序开发与验证	数据库清理批量程序开发与调度与验证
性能测试铺底数据方案	与性能测试团队沟通数据铺底数据量，结合数据量编写对应的数据膨胀脚本
性能测试数据备份方案	因涉及到性能场景频繁执行，需要对初始化好的数据库进行备份，便于频繁进行使用
性能测试分支创建	以当前UAT最新版本拉取性能测试分支，并在该分支进行性能优化及分支内容合并
投产演练分时计划制定	制定投产分时计划，确认关键时间要求，需行内提供支撑的任务事项内容，责任到人
应用安全测试方案及测试场景	与行内安全团队沟通，安全测试范围及场景
应用系统监控指标内容确认	与生产运维中心确认生产监控方案，触发告警策略，生产运维监控接入事项及工单提交
项目投产作战调度任务时序	编写投产作战时序表，哪个时间节点需要关注哪些任务事项，前置及后续步骤都是什么，当前任务负责人
安全补丁修复	结合行内安全测试缺陷，对内容进行修复
总体投产&演练方案编写	编写投产演练方案，结合前期基础数据准备，服务部署手册，实施控制表等内容，编写投产演练方案。关注每个投产演练过程中问题事项登记，并再下次演练过程中进行修复。
投产材料准备	与行内科技、运维沟通。投产所需的关键材料，并根据材料进行编写提供。
投产评审	编写投产评审方案、应急回退方案，用于行内进行投产评审工作
系统应急处理手册	编写系统应急处置手册，模拟哪种故障情况下，需要什么样的应急处置策略
自动化发布需提供测试环境	双中心2+2四个节点部署
梳理现在的前端配置文件，前端Nginx配置文件标准化	
应用发布蚂蚁金融平台，部署参数信息标准化	
关闭swgger组件安全漏洞	
与行内安全沟通测试方案	
与非功能测试团队沟通非功能测试方案	
提供目前所有服务端接口文档列表	
与行内科技沟通预测的测试案例与测试场景沟通	
统一日志平台，微服务化后，日志需对接行内日志平台，目前采集日志都包含哪些服务 ，还有哪些服务没有对接日志平台？	
监控，服务集群部署后，需要监控运行状态及流量情况，目前监控平台运行模式，监控指标要求，监控数据采集方式？	
系统备份和清理策略要求，系统数据库备份策略，备份模式，行内DBA管理，还是需要项目组提供具体的备份脚本及命令？	
日志备份规划，行内运维日志备份策略，备份基础要求？	
日常监控策略，对于系统日志内容告警监控，进程监控，服务状态监控等策略？	
加密要求，系统加解密，梳理一下哪些功能需要使用行内加解密组件，如何申请对应资源信息，现在测试开发环境是否按照生产要求进行加解密的？	
安全扫描，行内是否代码有安全扫描？安全扫描设计的范围?是否可以让科技进行初步安全扫描，提早安排安全漏洞代码修复与发现系统中不健康的代码块。	
非功能测试方案，场景案例范围选择，需与中电、行内科技共同商议决策，目前需要和重点尽快确认初步的测试范围与测试方案？	
与科技商榷一下是否可以进行相关安全测试的案例，测试方案的初步沟通。如果可以尽快让他们进行相关安全测试准备。我们在UAT阶段提供一套环境，让他们进行安全测试。	
基础组件确认统一开发平台技术相关组件版本，包含注册中心，Nginx，Jdk（用sun还是openjdk）等安全版本。	
数据库分片方案执行落地，将分片表与各组进行同步，涉及到相关分片的业务功能，分组排查是否条件携带了对应的分片键，如果没有涉及需要改造？	
服务器资源部署，待监控方案、Mongodb搭建确认完毕后，需按照规划设计对服务器进行总体部署分配，严格按照生产环境模式部署验证整个过程。	
日终批量调度，日终调度方案，定时批量调度，日终批量调度，目前的设计方案，对接行内统一调度，如何进行批量监控与告警。	
系统安全设计，互联网通信链路，防篡改，防重放，防越权等，找产品部确认安全组件使用与接入配置。	
规则引擎数据库表的清理与确认，非信贷需求垃圾数据清理	
工作流引擎数据库表的清理与确认，非信贷需求垃圾数据清理	
Seata部署后，是否生效，统计有多少组的功能使用了分布式事务，确认范围是否合理？	
熔断限流配置，需在yml文件中配置熔断限流配置，并验证生效？	
实现源码编译部署打包，确认还有哪些源码没有纳入本地编译打包。	
产品运行永久证书license，需要确认目前环境是否	
验证:URL权限控制操作说明书 https://kdocs.cn/l/ckIgyLNEtEWu	
"数据权限实施方案【金山文档】 数据权限配置说明
https://kdocs.cn/l/csQ9n1R0VIqK"	
防重幂等组件集成 https://kdocs.cn/l/cjmYEpM1vbwb	
分布式事务使用场景和使用方式，确认使用是否正确	
分布式锁使用场景和使用方式，确认使用是否正确	
基础数据项确认，除持续更新的数据，基础参数数据项不应该有垃圾数据存在	
总体投产&演练方案编写	
天元前端增量数据及版本管理方案	
后端代码增量版本及数据管理方案	
系统角色、权限、菜单等基础数据确认与检核方案，与需求一起沟通未来数据确认方案，通过表格进行相关数据初始化。	
与行内沟通部署方案，确认监控部署方案，并在开发测试环境集成验证。	
与运维中心确认云效平台版本发布编排	
目前涉及到应用数据备份、日志文件备份统一上传到OSS？	
目前信贷系统部分微服务接入sofa，可以采用蚂蚁金融云的应用级监控【实现应用服务状态、JVM、链路追踪、日志收集、CPU、内存、存储、自定义关键字】资源的监控与告警。信贷系统有部分技术类组件未接入sofa，需实现这部分应用级监控【实现应用服务状态、JVM、CPU、存储、内存】资源的监控告警，蚂蚁金融云是否可实现？	
蚂蚁金融云应用发布，目前通过蚂蚁金融云发布应用只能通过手动上传jar包形式实现，无法批量快速实现多应用集中发布部署。了解目前云效平台针对系统投产后是否可以支撑应用快速自动化发布部署。	
	
